Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
Weave,https://www.crunchbase.com/organization/weave-2,"Navigation and Mapping, Data and Analytics, Community and Lifestyle, Software, Professional Services, Internet Services, Mobile","San Francisco, California, United States",Weave is a mobile-based professional networking application to arrange meetings and friendly discussions.,"12,318",01/01/2013,Closed,1,"Mobile, Location Based Services, Software, Professional Networking",2,1-10,05/01/2014,"$630,000","$630,000",7,Seed,http://weave.in,1
Tradehill,https://www.crunchbase.com/organization/tradehill,"Commerce and Shopping, Software, Payments, Financial Services","San Francisco, California, United States",Tradehill is a virtual currency exchange platform specializing in bitcoin and Ripple transactions.,"13,766",03/01/2011,Closed,32,"E-Commerce, Virtual Currency",3,11-50,03/01/2013,"$400,000","$400,000",,Seed,http://www.tradehill.com,1
InstallMonetizer,https://www.crunchbase.com/organization/installmonetizer,"Software, Sales and Marketing, Advertising","San Jose, California, United States",InstallMonetizer enables software developers to generate additional revenue from their installations.,"13,921",05/01/2010,Closed,9,"Marketing, Advertising, Enterprise Software",2,11-50,01/14/2013,"$500,000","$500,000",6,Seed,http://www.InstallMonetizer.com,2
Last Guide,https://www.crunchbase.com/organization/last-guide,"Travel and Tourism, Media and Entertainment, Community and Lifestyle, Internet Services","San Francisco, California, United States",Last is building products that make it easier and more fun to go out and explore.,"14,420",01/01/2013,Closed,2,"Leisure, Travel, Social Media",1,1-10,04/10/2014,"$2,100,000","$2,100,000",20,Seed,http://last.co,1
STAND Technologies,https://www.crunchbase.com/organization/stand-technologies,Information Technology,"San Francisco, California, United States",STAND is a mobile application where you connect with people who inspire you to put your compassion into action.,"14,849",01/01/2014,Closed,1,"Information Services, Information Technology",1,11-50,06/25/2015,"$2,250,000","$2,250,000",7,Seed,http://www.stand.tc,1
Loku,https://www.crunchbase.com/organization/loku,"Navigation and Mapping, Data and Analytics, Internet Services, Mobile","San Francisco, California, United States","Loku encourages users to explore their city by providing personalized local recommendations of restaurants, bars, bowling, sports and more.","15,167",05/01/2010,Closed,9,"Ediscovery, Mobile, Local, Location Based Services",1,1-10,09/01/2012,"$2,100,000","$2,100,000",11,Seed,http://www.loku.com,2
Spotster,https://www.crunchbase.com/organization/spotster,"Media and Entertainment, Events, Mobile","New York, New York, United States",Spotster operates a web and mobile platform that enables people to share and be informed of events that are happening in real time.,"15,198",06/01/2012,Closed,,"Events, Mobile, Real Time",,1-10,01/01/2012,"$250,000","$250,000",,Seed,http://spotster.com,1
Kohort,https://www.crunchbase.com/organization/kohort,"Media and Entertainment, Internet Services","New York, New York, United States","Kohort provides management tools for organizations to manage membership directories, communications, events, ticketing and dues.","15,823",01/01/2011,Closed,13,Social Media,2,11-50,04/04/2011,"$3,000,000","$3,000,000",24,Seed,http://www.kohort.com,1
Frontback,https://www.crunchbase.com/organization/frontback,"Information Technology, Privacy and Security, Financial Services","San Francisco, California, United States",Frontback is a company producing an app for creating composite images from the front and rear cameras of iPhone handsets.,"16,050",01/01/2011,Closed,41,"Identity Management, Finance",2,,10/29/2013,"$3,000,000","$3,910,000",18,Seed,http://frontback.me,2
Egomotion,https://www.crunchbase.com/organization/egomotion,"Information Technology, Mobile","San Francisco, California, United States","Agent determines what you're doing, shares it with close friends and family, and adjusts your phone to respond to your context.","16,107",06/01/2011,Closed,9,"Information Technology, Real Time, Mobile",3,1-10,01/19/2015,"$250,000","$2,100,000",23,Seed,http://www.trystatus.com,3
Mitoo Sports,https://www.crunchbase.com/organization/bluefields,"Platforms, Information Technology, Software, Sports, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",The platform for the world's sports,"16,292",01/01/2011,Closed,,"Soccer, Email, iOS, Mobile, Sports, Android, SMS",4,1-10,05/22/2015,"$1,500,000","$2,727,683",12,Seed,http://mitoo.co,5
LikeIt.com,https://www.crunchbase.com/organization/thecomplete-me,"Media and Entertainment, Internet Services","San Francisco, California, United States","LikeIt™ enables social people discovery, helping users connect with their friends.","17,156",08/16/2011,Closed,3,"Social Media, Search Engine",1,1-10,01/18/2013,"$500,000","$1,720,000",8,Seed,http://likeit.com,2
Fetch,https://www.crunchbase.com/organization/buy-with-fetch,"Apps, Commerce and Shopping, Software, Mobile","Oakland, California, United States","Fetch, an SMS-based human-powered buying assistant, launched at TechCrunch Disrupt NYC in 2014.","17,711",01/01/2013,Closed,2,"Apps, Mobile, E-Commerce",1,11-50,05/05/2014,"$2,300,000","$2,300,000",4,Seed,http://www.buywithfetch.com,1
Bondsy,https://www.crunchbase.com/organization/bondsy,"Community and Lifestyle, Financial Services, Lending and Investments","Brooklyn, New York, United States",Bondsy is a community network for friends to trade things that are not priced by users.,"18,171",06/09/2011,Closed,21,"Trading Platform, Communities, Private Social Networking",1,1-10,07/01/2012,,"$754,466",8,Seed,http://bondsy.com,2
Jetbay,https://www.crunchbase.com/organization/jetbay,"Travel and Tourism, Commerce and Shopping","Mountain View, California, United States",Jetbay is a company that provides an online platform for foreign travelers to research and book their trips to China.,"18,354",01/01/2014,Closed,5,"E-Commerce, Travel, Marketplace",1,11-50,05/06/2015,"$1,600,000","$1,700,000",3,Seed,http://jetbay.com,3
The Runthrough,https://www.crunchbase.com/organization/the-runthrough,Design,"New York, New York, United States",TheRunthrough is a global online showroom where brands can showcase their collections to a curated group of influential media.,"18,538",10/01/2011,Closed,1,"B2B, Fashion, SaaS",2,11-50,08/30/2013,"$1,200,000","$1,658,338",7,Seed,http://www.therunthrough.com,2
just.me Inc,https://www.crunchbase.com/organization/justme,"Sales and Marketing, Internet Services, Mobile, Advertising","Palo Alto, California, United States","2011-2013, built a mobile social app called just.me. Bought by Archimedes Labs","18,816",07/11/2011,Closed,4,"Mobile, Mobile Advertising, Social Media Management",3,1-10,03/06/2014,"$50,000","$4,325,000",13,Seed,http://just.me,6
Ziptask,https://www.crunchbase.com/organization/ziptask,"Professional Services, Financial Services","Anaheim, California, United States",Ziptask is an online outsourcing services platform that employs project managers to execute the projects of consumers and SMEs.,"18,837",11/01/2011,Closed,3,"FinTech, Consulting, Finance, Outsourcing",2,11-50,05/04/2015,,"$118,000",4,Seed,http://www.ziptask.com,3
TrustEgg,https://www.crunchbase.com/organization/trustegg,"Media and Entertainment, Internet Services","Temecula, California, United States",TrustEgg is a child savings product that combines the security of a trust fund with the power of social networks.,"18,844",01/01/2011,Closed,6,Social Media,2,1-10,12/20/2013,"$1,000,000","$1,150,000",13,Seed,http://www.trustegg.com,2
Buttercoin,https://www.crunchbase.com/organization/buttercoin,"Software, Payments, Financial Services","Palo Alto, California, United States",Buttercoin is an open source digital trading engine used to arrange trades in an order book.,"19,058",01/01/2013,Closed,11,"Bitcoin, Software",2,1-10,09/18/2013,"$250,000","$1,250,000",11,Seed,http://buttercoin.com,2
Blab,https://www.crunchbase.com/organization/blab-4,"Media and Entertainment, Internet Services, Video","San Francisco, California, United States",Blab offers a platform that enables its users to communicate with the other users.,"19,462",04/25/2015,Closed,1,"Media and Entertainment, Video, Internet",3,11-50,01/09/2015,"$5,000,000","$5,000,000",1,Seed,http://blab.im,1
Everpix,https://www.crunchbase.com/organization/everpix,"Media and Entertainment, Content and Publishing, Mobile","San Francisco, California, United States",Everpix is the smart photo platform that gives you an effortless way to enjoy your life photo collection.,"20,064",08/26/2011,Closed,82,"Mobile, Photography",3,51-100,07/19/2012,"$1,000,000","$2,425,000",6,Seed,http://www.everpix.com,3
Sunglass,https://www.crunchbase.com/organization/sunglass,"Hardware, Real Estate, Software, Design","San Francisco, California, United States","Sunglass enables designers to share and collaborate around 3D content in building tomorrow’s products, buildings and cities.","20,330",05/01/2011,Closed,21,"Architecture, Software, 3D Technology, Product Design",2,11-50,03/16/2012,"$1,800,000","$1,800,000",10,Seed,http://www.sunglass.io,1
Boomerang,https://www.crunchbase.com/organization/boomerang,"Commerce and Shopping, Sales and Marketing, Financial Services, Mobile, Advertising","Chicago, Illinois, United States",Boomerang is a gifting and rewards network for publishers with access to revenue-generating gift cards from top advertisers.,"20,352",01/01/2012,Closed,19,"Gift Card, Mobile, Advertising",5,1-10,07/31/2012,"$1,000,000","$1,000,000",2,Seed,http://rang.com,1
Hukkster,https://www.crunchbase.com/organization/hukkster,"Commerce and Shopping, Design","New York, New York, United States","Hukkster, a shopping tool, allows users to track and mark products on websites and notifies them via text or email when they go on sale.","20,439",04/01/2012,Closed,26,"Fashion, E-Commerce, Retail",2,11-50,03/12/2014,"$1,500,000","$4,500,000",9,Seed,http://www.hukkster.com,3
Haven,https://www.crunchbase.com/organization/porchlight-2,"Apps, Software, Mobile","Fishers, Indiana, United States",Haven is a free app that makes it easy and convenient to take care of your house.,"20,780",02/26/2014,Closed,3,"Mobile, Apps",3,1-10,10/21/2014,"$1,024,999","$1,024,999",4,Seed,http://www.joinhaven.com,1
Quiet,https://www.crunchbase.com/organization/quiet,"Media and Entertainment, Community and Lifestyle, Internet Services, Mobile","Los Angeles, California, United States",Quiet is a anonymous social app that lets people instantly share their deepest thoughts or say just about anything anonymously for free!,"20,873",06/01/2014,Closed,,"Private Social Networking, Mobile, Social Media",2,,03/03/2016,"$350,000","$350,000",,Seed,http://www.quiet.ch,1
Done.,https://www.crunchbase.com/organization/done,"Commerce and Shopping, Education","New York, New York, United States",Done. is a marketplace where talented locals create profiles to advertise their talents.,"21,034",02/24/2011,Closed,2,"Local, Marketplace, Skill Assessment",2,11-50,11/14/2011,"$985,136","$985,136",,Seed,http://done.com,1
SoMoLend,https://www.crunchbase.com/organization/somolend,Financial Services,"Cincinnati, Ohio, United States","SoMoLend, a web-based tech platform, allows small businesses to raise debt financing from individuals, banks, and business associations.","21,137",05/11/2011,Closed,19,"FinTech, Finance",1,11-50,03/06/2013,"$2,200,000","$5,395,000",8,Seed,http://www.somolend.com,5
Scoot & Doodle,https://www.crunchbase.com/organization/scoot-doodle,"Software, Education","Palo Alto, California, United States",Scoot & Doodle is an open-ended creative environment that enables groups of people to share their creations through videos.,"21,269",01/01/2012,Closed,7,"Real Time, Collaboration, E-Learning",,1-10,03/07/2013,"$2,250,000","$2,250,000",1,Seed,http://scootdoodle.com,1
PayDragon,https://www.crunchbase.com/organization/paydragon,"Apps, Commerce and Shopping, Food and Beverage, Software, Mobile","Los Angeles, California, United States",PayDragon is a mobile commerce app that allows users to order and pay for groceries from local stores.,"21,309",01/01/2012,Closed,11,"Mobile Apps, E-Commerce, Grocery",1,1-10,07/27/2012,"$1,350,000","$1,350,000",5,Seed,http://paydragon.com,1
Flowgram,https://www.crunchbase.com/organization/flowgram,"Media and Entertainment, Video, Content and Publishing","San Francisco, California, United States","Flowgram allows sharing web pages, photos, and videos in a browser-based player that acts like an interactive screencast.","21,950",06/01/2007,Closed,7,"Digital Media, Video, Photography",,11-50,01/31/2008,"$1,300,000","$1,300,000",8,Seed,http://www.flowgram.com,1
Sqwiggle,https://www.crunchbase.com/organization/sqwiggle,"Media and Entertainment, Software, Video, Content and Publishing","San Francisco, California, United States",Sqwiggle is an always-on online workplace that allows remote team members to work together and feel more connected.,"22,071",02/01/2013,Closed,18,"Software, Video Streaming, Video",3,1-10,08/29/2013,"$1,100,000","$1,100,000",7,Seed,http://www.sqwiggle.com,1
PoachIt,https://www.crunchbase.com/organization/poachit,Commerce and Shopping,"New York, New York, United States",PoachIt is a web app that enables consumers to get coupon codes while shopping online and price drop alerts for the products they want.,"22,413",01/01/2011,Closed,21,"E-Commerce, Retail, Coupons",1,1-10,09/16/2014,"$1,800,000","$2,800,000",6,Seed,http://www.poachit.com,2
DwellAware,https://www.crunchbase.com/organization/dwellaware,"Information Technology, Real Estate, Data and Analytics, Software, Internet Services, Financial Services","San Francisco, California, United States",We quantify risks & costs for businesses and their customers in the housing sector,"22,469",10/16/2013,Closed,1,"Analytics, Business Intelligence, Big Data, FinTech, Real Estate, Predictive Analytics, Information Services, Internet",3,1-10,03/23/2014,"$1,581,000","$2,181,000",6,Seed,https://DwellAware.com,2
Sumpto,https://www.crunchbase.com/organization/sumpto,"Media and Entertainment, Sales and Marketing, Internet Services","New York, New York, United States",Sumpto measures the social influence of college students and enables brands to target and engage with specific college influencers.,"22,579",07/30/2012,Closed,10,"Direct Marketing, Social Media",,1-10,10/22/2013,"$350,000","$425,000",2,Seed,http://www.sumpto.com,2
TenderTree,https://www.crunchbase.com/organization/tendertree,"Commerce and Shopping, Real Estate, Health Care, Internet Services","San Francisco, California, United States",TenderTree is a platform for finding in-home caregivers for patients and the elderly.,"22,590",01/01/2012,Closed,11,"Home Health Care, Real Estate, Search Engine, Marketplace",1,1-10,11/14/2012,"$1,300,000","$1,300,000",7,Seed,http://www.tendertree.com,1
Fabricly,https://www.crunchbase.com/organization/fabricly,Commerce and Shopping,"New York, New York, United States","Fabricly is an online marketplace enabling designers to submit designs, and customers to pick and buy from apparel collections.","22,725",01/01/2010,Closed,3,E-Commerce,2,1-10,11/18/2010,"$400,000","$400,000",,Seed,http://www.fabricly.com,1
WUT,https://www.crunchbase.com/organization/wut,"Apps, Media and Entertainment, Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",A social messaging app that brings the party to your lock screen,"22,804",01/01/2014,Closed,9,"Apps, Social Media, Messaging",2,1-10,06/10/2014,"$1,000,000","$1,000,000",7,Seed,http://wutwut.com,1
Test,https://www.crunchbase.com/organization/instabank,Financial Services,"Utah, United States, North America",Test,"22,822",01/01/2012,Closed,,"FinTech, Financial Services",,11-50,09/03/2014,"€35,000","$1,445,958",5,Seed,http://test.com,4
SchoolFeed,https://www.crunchbase.com/organization/schoolfeed,"Education, Internet Services","San Mateo, California, United States",schoolFeed is an online network that enables people who did not have social networks while in school to locate their classmates.,"22,853",01/01/2010,Closed,7,"Social Network, Education, Subscription Service",1,1-10,02/08/2012,"$1,750,000","$1,750,000",7,Seed,http://your.schoolfeed.com,2
Visidraft,https://www.crunchbase.com/organization/visidraft,"Real Estate, Mobile","Hyattsville, Maryland, United States",Pair is an Augmented Reality startup that develops a communications and design platform for architecture and construction work.,"22,869",07/09/2012,Closed,1,"Architecture, Construction, Mobile",2,1-10,04/28/2015,"$250,000","$250,000",2,Seed,http://www.visidraft.com,1
Sensilk,https://www.crunchbase.com/organization/sensilk,"Hardware, Commerce and Shopping, Consumer Electronics, Sports","San Francisco, California, United States","Sensilk is a smart performance apparel company. Weaving technology into fabric, we make it easier to track, improve, and maximize workouts","22,886",01/01/2013,Closed,1,"Sporting Goods, Fitness, E-Commerce, Wearables",1,1-10,10/16/2014,"$1,500,000","$1,500,000",1,Seed,http://www.sensilk.com,2
Citybot,https://www.crunchbase.com/organization/citybot,"Travel and Tourism, Food and Beverage, Mobile","San Diego, California, United States","Citybot is the developer of Itinerary Engine™, a mobile tool that enables travelers to create intra-day itineraries.","22,887",01/01/2012,Closed,6,"Food and Beverage, Mobile, Travel",4,1-10,09/30/2012,"$750,000","$750,000",6,Seed,http://citybot.com,2
GreenGoose!,https://www.crunchbase.com/organization/greengoose,"Hardware, Community and Lifestyle, Software, Health Care","San Francisco, California, United States","GreenGoose creates sensors and applications that tracks and stores real life acts in a database, with a reward system for positive acts.","23,034",01/01/2010,Closed,1,"Hardware, Lifestyle, Software, Health Care",1,11-50,03/22/2011,"$1,100,000","$1,200,000",5,Seed,http://greengoose.com,2
AutoRef.com,https://www.crunchbase.com/organization/autoref-com,"Transportation, Internet Services","Santa Monica, California, United States",AutoRef enables consumers to negotiate online for new and used vehicles.,"23,064",12/28/2010,Closed,7,"Online Portals, Automotive, Consumer",,1-10,04/12/2013,"$850,000","$875,000",5,Seed,http://autoref.com,2
Guide,https://www.crunchbase.com/organization/guide,"Apps, Media and Entertainment, Software","Miami, Florida, United States",Guide is a software company transforming traditional web content into an audio-visual stream for curation and consumption on-the-go.,"23,214",08/01/2012,Closed,18,"Software, Guides, Apps",2,11-50,07/02/2013,"$1,500,000","$2,500,000",10,Seed,http://gui.de,2
Wire,https://www.crunchbase.com/organization/wire-labs,"Information Technology, Internet Services, Messaging and Telecommunications","Seattle, Washington, United States","Wire Labs is developing a mobile messaging application called Wire, which targets the teen audience with photo and video messaging features.","23,641",02/01/2013,Closed,,Messaging,2,51-100,11/26/2013,"$1,800,000","$1,800,000",11,Seed,http://wire.im,1
Serica,https://www.crunchbase.com/organization/digitaltangible,"Software, Payments, Financial Services","San Francisco, California, United States",A platform to trade your asset rights as easily as digital money,"23,998",07/01/2014,Closed,8,"Bitcoin, Financial Services, Lending",2,1-10,09/01/2015,"$120,000","$120,000",1,Seed,http://www.sericatrading.com,2
Material Mix,https://www.crunchbase.com/organization/material-mix,"Sustainability, Software","Saint Louis, Missouri, United States",Material Mix operates an online marketplace and community that provides materials management solutions for businesses.,"24,225",02/01/2011,Closed,7,"Industrial, Software, Sustainability, Recycling, GreenTech",1,1-10,02/15/2014,"$15,000","$155,000",4,Seed,http://www.materialmix.com,4
CityFunders,https://www.crunchbase.com/organization/cityfunders,"Real Estate, Financial Services","New York, New York, United States",CityFunders is an online portal for accredited investors to explore and invest in NYC real estate.,"24,495",10/01/2014,Closed,4,"Real Estate, Crowdfunding",4,1-10,10/01/2014,"$1,000,000","$1,000,000",,Seed,http://www.cityfunders.com,1
Ordrx,https://www.crunchbase.com/organization/ordr-in,"Commerce and Shopping, Financial Services","New York, New York, United States",Twilio for transactional local commerce data,"24,701",01/01/2011,Closed,3,"Finance, FinTech, E-Commerce",2,1-10,02/26/2014,"$30,000","$1,398,000",8,Seed,http://www.ordrx.com,5
CrowdMob,https://www.crunchbase.com/organization/crowdmob,"Commerce and Shopping, Media and Entertainment, Navigation and Mapping, Data and Analytics, Sales and Marketing, Internet Services, Mobile, Advertising","San Francisco, California, United States",CrowdMob is a performance-based mobile advertising network targeting users seeking entertainment.,"24,902",09/01/2010,Closed,4,"Ad Network, Advertising, Local, Mobile, Location Based Services, Social Media, E-Commerce, Advertising Platforms",3,1-10,01/01/2011,"$1,000,000","$1,000,000",10,Seed,http://www.crowdmob.com,1
Guestmob,https://www.crunchbase.com/organization/guestmob,"Travel and Tourism, Commerce and Shopping","San Mateo, California, United States","Guestmob is an online website that allows users to book and find price deals on hotels similar in location, rating and quality.","24,962",01/01/2010,Closed,1,"E-Commerce, Travel, Hospitality",,1-10,08/01/2011,"$800,000","$800,000",7,Seed,http://www.guestmob.com,1
Inporia,https://www.crunchbase.com/organization/inporia,"Commerce and Shopping, Data and Analytics, Software","San Francisco, California, United States",Inporia develops e-commerce driven apps and widgets for smartphones.,"25,430",02/01/2011,Closed,7,"E-Commerce, Machine Learning",2,11-50,05/11/2011,"$1,250,000","$1,250,000",9,Seed,http://inporia.com,1
Switchcam,https://www.crunchbase.com/organization/switchcam,"Media and Entertainment, Events, Video, Content and Publishing","San Francisco, California, United States","Switchcam enables video production by helping users organize a camera crew, collect footage and publish the result online in real-time.","25,566",03/01/2011,Closed,15,"Events, Photography, Video",2,11-50,06/14/2012,"$1,200,000","$1,220,000",8,Seed,http://switchcam.com,3
Locish,https://www.crunchbase.com/organization/locish,"Travel and Tourism, Navigation and Mapping, Data and Analytics, Internet Services, Mobile","San Francisco, California, United States","Locish is a mobile travel app for travelers to get personal, real-time, location-based recommendations from local experts.","25,648",02/21/2013,Closed,2,"Location Based Services, Mobile, Travel",2,1-10,03/20/2014,"$820,000","$898,130",5,Seed,http://www.locish.com,2
"Mind Pirate, Inc.",https://www.crunchbase.com/organization/mind-pirate-inc,"Hardware, Consumer Electronics, Software, Internet Services, Mobile","Menlo Park, California, United States","Mind Pirate, Inc. was acquired by HP's Innovation Group in Dec., 2014. Mind Pirate built technology for wearable & IoT computing apps","25,771",01/01/2012,Closed,,"Mobile, Augmented Reality, Internet of Things, Wearables",4,11-50,07/11/2013,"$2,500,000","$2,500,000",3,Seed,http://mindpirate.com,1
Tylr Mobile,https://www.crunchbase.com/organization/tylr-mobile,"Apps, Information Technology, Software, Mobile","San Mateo, California, United States",Tylr mobile offers role-specific mobile work apps that connect mobile tools with business data and processes to increase productivity.,"25,801",11/01/2012,Closed,13,"Mobile Apps, Mobile, Information Technology",3,1-10,11/04/2013,"$1,500,000","$1,528,000",6,Seed,http://www.tylrmobile.com,3
vChatter,https://www.crunchbase.com/organization/vchatter,"Apps, Media and Entertainment, Information Technology, Software, Internet Services, Video, Messaging and Telecommunications","Menlo Park, California, United States",vChatter is a video chat application that allows its users to video chat with their Facebook friends.,"25,877",05/30/2010,Closed,9,"Video, Messaging, Real Time, Apps",3,1-10,01/23/2011,"$350,000","$600,000",,Seed,http://www.vchatter.com,2
Uguru.me,https://www.crunchbase.com/organization/uguru,Education,"San Francisco, California, United States",Make peer-to-peer help available and affordable by making the connection easy for both sides.,"26,009",09/05/2013,Closed,,"Tutoring, Education",2,11-50,08/01/2014,"$100,000","$100,000",1,Seed,http://uguru.me,1
Udorse,https://www.crunchbase.com/organization/udorse,"Gaming, Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States",Udorse is a startup that allows users to tag brands in their existing social network photos.,"26,378",06/15/2009,Closed,19,"Social Network, Gaming, Photography",2,1-10,06/09/2009,"$500,000","$500,000",1,Seed,http://www.udorse.com,1
Shortlist,https://www.crunchbase.com/organization/shortlist,"Media and Entertainment, Events, Mobile","Chicago, Illinois, United States","Shortlist helps attendees, organizers and exhibitors make more meaningful connections at professional events.","26,424",08/31/2011,Closed,,"Events, Mobile",2,1-10,12/01/2011,"$310,000","$310,000",7,Seed,http://getshortlist.com,1
Gliph,https://www.crunchbase.com/organization/gliph,"Information Technology, Software, Payments, Internet Services, Privacy and Security, Financial Services, Messaging and Telecommunications","San Mateo, California, United States",Gliph Marketplace saves buyers and sellers time and energy using a new peer-to-peer (P2P) transaction method called Deal Flow.,"26,724",01/01/2012,Closed,16,"Cyber Security, Privacy, Security, Bitcoin, Messaging",1,11-50,01/31/2014,"$25,000","$608,000",6,Seed,https://gli.ph,5
SocialBuy,https://www.crunchbase.com/organization/socialbuy,"Commerce and Shopping, Sales and Marketing, Advertising","Santa Monica, California, United States",SocialBuy is a collective buying site that offers daily deals that bring people together socially and help them save money in the process.,"26,828",01/01/2010,Closed,4,"Group Buying, Advertising",2,11-50,01/01/2010,"$500,000","$500,000",2,Seed,http://www.socialbuy.com,1
Kluster,https://www.crunchbase.com/organization/kluster,,"New York, New York, United States",Kluster is a crowdsourcing platform allowing project administrators to obtain ideas from community members.,"26,830",01/01/2007,Closed,18,"Collaboration, Crowdsourcing",1,,01/01/2008,"$1,000,000","$1,000,000",1,Seed,http://kluster.com,1
Wiper,https://www.crunchbase.com/organization/wiper,"Media and Entertainment, Information Technology, Music and Audio, Software, Payments, Internet Services, Video, Financial Services, Messaging and Telecommunications","New York, New York, United States",Messaging. Entertainment.,"26,878",02/13/2014,Closed,5,"Bitcoin, Video, Messaging, VoIP, Film, Music",3,11-50,02/05/2016,"$2,000,000","$4,500,000",1,Seed,http://gowiper.com,2
Rivet & Sway,https://www.crunchbase.com/organization/rivet-sway,"Commerce and Shopping, Consumer Goods","Seattle, Washington, United States",Rivet & Sway is an online provider of designer and prescription eyeglasses for women.,"26,896",07/07/2011,Closed,9,"Women's, Eyewear, E-Commerce",1,11-50,02/01/2013,"$2,000,000","$2,350,000",4,Seed,http://www.rivetandsway.com,2
CakeStyle,https://www.crunchbase.com/organization/cakestyle,"Commerce and Shopping, Community and Lifestyle, Design","Chicago, Illinois, United States","Cakestyle was a virtual personal styling service for women, delivering hand-selected outfits based on a user's fit and wardrobe needs.","27,125",08/01/2011,Closed,12,"Fashion, Lifestyle, Retail",2,11-50,08/13/2012,"$1,000,000","$1,000,000",1,Seed,http://www.cakestyle.com,1
Juice In The City,https://www.crunchbase.com/organization/juice-in-the-city,Community and Lifestyle,"San Mateo, California, United States",Juice in the City operates a website that pairs mothers with locally-owned businesses and daily deals.,"27,167",01/01/2010,Closed,2,Parenting,2,11-50,06/02/2011,"$6,000,000","$6,000,000",1,Seed,http://juiceinthecity.com,1
